852552;88995002;852552;9011971;88119002;849014;851509;88299702;88299702;87880;911296202;911296202;89812;89812;89812;899987;899987;885429;873593;873593;854002;854002;889719;889719;889719;8912049;913505;903516;903516;842517;842517;842517;901288;901288;901288;873592;873592;873592;91762702;91762702;91762702;871201;8812844;926424;926424;926424;8811523;873586;865423;8712064
88995002;852552;88119002;9011971;88119002;849014;851509;851509;88299702;851509;911296202;88119002;915143;915143;88299702;899987;885429;885429;873593;854002;854002;844359;844359;844359;877500;895100;913505;913505;903516;903516;842517;842517;852552;901288;854002;88119002;873592;873592;86355;91762702;8610637;8712766;8811779;8812818;926424;8812816;875093;871642;89263202;8711803
90602302;88995002;842302;842302;857637;857637;871201;857637;911296201;911296201;8712766;871201;915143;8811842;8811842;8811842;88649001;88649001;88649001;895100;895100;873701;844359;88330202;86135502;86135502;913505;844359;84501001;84610002;911157302;911157302;911157302;857637;873593;8712289;87880;8811842;87163;8612399;84300903;84300903;875263;881094802;881046502;879830;872608;89263202;89263202;89263202
90602302;9011971;842302;849014;859717;871201;871201;849014;911296201;853612;8712766;8712766;8610637;8811842;8910988;8910988;86355;864877;87163;873593;895100;8912049;8912049;8912049;86135502;86135502;84458202;877486;877486;877486;851509;911157302;853612;859575;8712289;8712289;8712289;877500;869104;84300903;84300903;84300903;8712729;874839;874373;874662;872113;871641;8711561;8711202
853612;87880;90602302;859717;859717;897630;897630;886226;892438;892438;857637;8610637;8610637;8610637;8910988;86355;86355;885429;9012000;89812;911296201;8612399;889719;867739;867739;9110732;9110732;843786;877486;848406;85922302;887549;86135502;864877;873701;8712289;8812877;8810987;8810528;8670;8610404;86517;875938;926682;926682;926682;873357;8710441;868826;864033
853612;87880;842302;903507;903507;84610002;897630;886226;859575;892438;859717;88995002;897630;892438;886226;853401;86355;8910988;9012000;9012000;8612399;8612399;915143;867739;867739;9110732;9110732;84348301;894326;854039;887549;887549;862717;88206102;867739;877486;8810158;919555;879523;87930;86208;877501;87556202;873843;926682;874158;87139402;864018;888570;888570
853612;87880;87163;903507;84610002;84610002;84610002;886226;859575;859575;852631;887181;887181;887181;853401;853401;853401;914769;899987;884948;9012000;8612399;842302;857010;84862001;86730502;845636;845636;894326;894326;859717;887549;864729;88206102;88206102;8810436;919555;919555;919555;86208;86208;86208;87281702;8711003;871149;8712853;869691;859471;888570;888570
85922302;87163;87163;852973;848406;873701;84862001;84862001;859575;8712766;852631;852631;887181;9011971;903507;88649001;90602302;914769;911296202;884948;884948;849014;857010;857010;857010;857010;857793;856106;894326;857438;862028;86730502;87164;88206102;8810955;8611555;878796;879804;877989;875878;86208;874858;871001502;9011494;869254;87106;864685;861103;859464;858981
85922302;852552;852973;848406;848406;873701;84862001;864877;864877;864877;852631;869104;8610404;8610404;855625;855625;855625;914769;914769;884948;908445;86517;852631;852973;927241;916799;916799;916799;89122;89122;89122;873885;901088;874217;8611555;8611555;8611555;8712291;8711002;868999;866203;868682;869224;9011494;9011494;869931;868223;862980;862261;862722
85922302;852973;852973;877500;848406;873701;84862001;854039;864729;8670;869104;869104;869104;8610404;8610404;855625;89742801;9113538;908445;908445;86517;86517;853401;927241;927241;85715;916799;858986;861853;89122;863030;901088;901088;901088;877159;8611555;8711216;883263;866674;866203;866203;866203;869218;9011494;86973702;926125;871001501;862989;8711202;8711202
