852552;88995002;9011971;88119002;88119002;849014;851509;851509;88299702;871201;911296202;911296202;915143;89812;89812;899987;899987;885429;873593;873593;854002;844359;844359;889719;889719;895100;913505;903516;903516;842517;842517;901288;901288;901288;859717;873592;873592;873592;8712766;91762702;91762702;86355;8812818;926424;926424;926424;881046502;873843;8710441;87127
852552;88995002;852552;9011971;849014;849014;851509;871201;88299702;857637;911296202;88119002;915143;89812;915143;899987;885429;885429;873593;854002;854002;844359;844359;889719;877500;889719;913505;913505;903516;842517;842517;911157302;842517;901288;871201;873592;873592;8811842;91762702;91762702;8610637;873701;8811779;881094802;926424;8810703;875093;872113;89263202;89263202
90602302;90602302;842302;88119002;857637;857637;871201;851509;911296201;911296201;859717;892438;8811842;8811842;8811842;8910988;88649001;88649001;864877;854002;895100;895100;88330202;86135502;86135502;86135502;844359;84610002;913505;903516;911157302;911157302;911157302;859575;8712289;8812877;88119002;87880;87163;8610404;84300903;84300903;8810987;879830;877159;875099;873586;8711803;89263202;89263202
88995002;842302;842302;9011971;857637;871201;849014;88299702;911296201;8712766;8712766;8712766;87880;8811842;8910988;8910988;88299702;88649001;873593;885429;895100;8912049;8912049;8912049;86135502;842302;877486;877486;877486;849014;851509;854002;857637;8612399;8712289;8712289;8712289;877500;867739;84300903;84300903;84300903;87930;874858;874839;874662;872608;871642;8711561;8711202
853612;87880;90602302;903507;859717;859717;897630;897630;897630;892438;8712766;8610637;8610637;8610637;86355;86355;86355;88649001;9012000;89812;899987;8612399;8912049;911296201;867739;843786;9110732;848406;877486;854039;86135502;887549;864729;8670;873593;8712289;8812844;8811523;8810528;8712729;86517;869104;875938;874158;926682;926682;87281702;868826;868223;864033
853612;87880;842302;903507;859717;852552;886226;886226;859575;892438;87163;88995002;892438;8610637;86355;886226;853401;8910988;9012000;9012000;8612399;8612399;867739;867739;867739;9110732;9110732;84501001;894326;856106;887549;887549;864877;88206102;88206102;8812816;8810436;919555;919555;86208;879523;877501;875878;873357;926682;926682;871149;863031;888570;888570
853612;87880;903507;87163;85922302;84610002;886226;859575;859575;859575;852631;887181;887181;887181;853401;853401;853401;914769;9012000;884948;90602302;8612399;915143;84862001;84458202;86730502;9110732;852973;894326;894326;862717;887549;88206102;88206102;875263;8810158;879804;919555;919555;86208;86208;86208;8712064;871001501;871001502;871122;864685;855563;888570;888570
85922302;85922302;87163;852973;848406;84610002;84610002;84862001;84610002;852631;852631;852631;887181;9011971;869104;855625;89742801;914769;884948;884948;884948;914769;857010;857010;857010;853612;845636;894326;857438;85922302;89122;866083;87164;877486;8810955;8611555;878796;877989;87556202;86208;874373;87139402;869931;9011494;9011494;86973701;864018;861103;859471;858981
85922302;87163;852973;848406;848406;873701;84862001;864877;864877;864729;873701;897630;903507;8610404;855625;855625;855625;914769;911296202;852552;908445;86517;853401;857010;927241;857010;916799;857793;89122;89122;863030;873885;901088;874217;8611555;8611555;8611555;8712291;87106;86973702;866203;869224;869218;9011494;9011494;869476;868682;862980;862722;862261
853612;852973;852973;848406;873701;873701;84862001;864877;84862001;8670;869104;869104;869104;8610404;8610404;89742801;89742801;9113538;908445;908445;908445;86517;85382601;927241;927241;916799;916799;916799;861853;89122;86730502;901088;901088;901088;8712853;8611555;8711216;883263;865468;866203;866203;866203;867387;868999;869254;926125;926125;862989;8711202;8711202
