873592;91789;899667;873586;89813;88206102;8812844;917897;925622;857010;877159;898678;873593;875878;913512;865423;862965;886226;9113846;9110720;85759902;914580;852552;846226;881972;907915;906290;862009;9112085;857156;844981;857373;871001502;862548;909220;842302;877989;874839;859283;9112712;868223;903483;84358402;861103;89511501;90317302;9012568;923780;869476;893061;8860702;891670;9112712;89143602;842517;913102;901034302;90250;866458;866458;866458;866458;873843;894604;918192;918192;918192;894335;8610629;8610629;8610629;8911164;894335;894335;894335;864726;8911164;8911164;8911164;8913049;8913049;8913049;86211;86211;86211;86408;86408;891936;891936;871641;871641;871641;901315;901315;901315;875099;875099;864726;864726;894047
892189;855167;855625;915664;90312;8810955;9113846;89813;89869;852973;922296;91544001;904302;88466802;909411;858970;91805;8810436;859711;868223;871642;8912055;857343;87281702;87163;892399;8910748;908469;84862001;857374;9111596;857810;8610637;871641;865468;909220;855625;851509;8711002;862548;91504;862261;9113455;9011494;88350402;91762702;9110127;848406;87556202;8712766;914062;873357;911150;9111843;898677;901011;8912280;907367;86409;866458;866458;866458;869476;894329;918192;918192;918192;8610629;8610629;8610629;8610629;8913049;894335;894335;871641;875099;859711;8911164;8911164;8913049;8913049;922840;909777;86211;86408;86408;907915;891936;891936;891936;871641;909777;894047;901315;875099;892399;875099;864726;864726;894047
911150;914102;909777;91485;9112594;901549;907409;915276;866458;869224;905189;88203002;859283;898690;91485;925311;894335;873843;922840;8611555;8812877;857155;922840;855167;908194;869931;901041;8610637;863270;924934;926424;857373;921385;8911800;9113156;914333;869931;904689;911201;894090;864729;926954;8911163;884448;912600;883539;9010333;845636;911320502;884948;904689;864033;90312;88119002;898690;892657;89346;923748;924342;86211;862989;862261;859196;859471;868871;8911164;8913049;859711;894335;914101;9010258;894329;86211;86211;924964;884437;875093;875093;875093;924342;868871;868871;868871;91544002;86408;91550;907915;907915;90250;90250;871641;909777;909777;909777;892399;892399;892399;875099;924342;894047
905189;857343;902727;85715;898431;853401;901303;9113239;854253;895633;925277;91544002;911916;905502;84667401;891936;911685;901028;8810987;894089;925277;877989;864685;903483;857343;846226;855138;859283;842517;856106;865128;871001502;923169;908445;926682;8711561;892657;859196;883852;90769601;883270;862717;88299702;88206102;881046502;911320502;8912521;914333;90944601;908489;905502;89827;894090;892657;862722;915186;91550;859487;859487;922840;924964;873586;873586;873586;858981;857343;919812;904969;914101;914101;914101;914101;9010258;9010258;864292;904969;875093;875093;875093;923748;868871;868871;903011;921385;921385;91550;91550;907915;90769601;90250;90250;919537;922840;898677;898677;898677;898677;924964;924342;924342
865468;8911164;891923;858986;875093;913512;915452;856106;91544002;91813701;873843;89346;89382602;905539;91903902;8812844;911408;855133;859487;924632;907914;9010872;886452;8810703;881972;908916;855133;9112367;91903902;875263;87164;8910721;871001501;872113;857793;924964;851509;859487;912519;922296;9113239;854039;915460;855563;9013594;9010333;8810158;9110127;86135501;903554;906024;8911164;901315;854941;854941;864726;919537;859487;859487;91544002;923780;873586;873586;873586;917092;9111596;86409;86409;899147;914101;894047;872113;9010258;9010258;868871;904969;904969;858970;907145;901011;915186;903011;903011;903011;921385;907915;91550;90769601;90769601;90769601;91544002;919537;922840;922840;892399;898677;864292;864292;894047;924934
868999;912600;85638502;909411;919812;8810158;916799;907914;911391;89122;8610404;868223;921362;925277;89869;854253;865423;924084;864496;864496;8912521;889403;846381;91789;909777;908194;852781;91903902;905680;9010258;88411702;925311;897604;909445;9112085;911654;911685;86408;8910996;9112594;926954;905502;916221;917062;868223;9013838;859465;892399;919812;884448;9111805;905539;892399;854941;854941;875099;892399;859487;859487;907915;915276;921385;8510824;923169;91505;86409;86409;86409;901011;879804;868999;902975;921385;9010258;904969;904969;90401602;858981;901011;901011;901011;899147;917092;903011;921385;91544001;91544001;90769601;90250;91544002;91544002;919537;922840;892657;892657;864292;864292;924964;924934;924934
917092;907915;88649001;888264;8712064;873885;908489;885429;914769;8911164;917897;884448;89344;901303;898677;903011;866458;904302;859711;88299702;8611792;915452;877501;894329;8911800;8811523;909231;8910506;906024;8911834;90769602;84667401;86973702;90312;874858;917896;908489;89864002;864685;9110944;871149;915460;8911230;853612;85382601;911320502;866674;898690;89864002;9112594;905680;89346;854941;854941;854941;891936;909777;86408;90769601;897132;894090;903011;911685;906616;906024;9110720;86409;90401602;8912284;87106;902975;902975;902975;862989;871642;90401602;90401602;892604;899147;901011;899147;899147;873843;873843;8911230;911685;91544001;91544001;91544001;91789;91544002;919537;892657;892657;892657;924964;924964;872113;924342;905539
8612080;87139402;893061;925277;9113778;894326;8611161;8913;915452;911391;854268;925292;923465;911391;907915;89812;9113455;9012315;866714;857156;91813702;857155;9110944;883270;8912055;913512;9113846;923465;891923;865432;911673;89827;91227;904969;919537;869254;859465;915940;894604;8510653;89122;88119002;925622;8813129;901041;862965;922576;864033;881861;9010598;89382602;872113;901315;897132;898677;894047;871641;891936;894090;894090;894090;91550;905539;891716;893988;902975;901041;8912521;8912284;8912284;869476;902975;862722;871001502;8912521;90401602;892604;892604;892604;869476;869476;899147;873843;873843;8911230;8911230;874662;874662;874662;893783;91789;91789;88199202;901315;897132;864292;879804;879804;905539;905539
915691;864292;8711561;917896;852763;8712291;875938;89296;8811779;924084;896839;866674;8711561;906564;915186;911150;871201;862028;911366;857373;865423;925311;9110127;921644;884180;8911164;899667;9112712;899987;88249602;878796;881972;849014;903554;9113538;915276;9010258;864877;91544002;868999;899667;85759902;895633;857373;90944601;859464;901034302;901034302;9012000;896864;858477;909777;907915;905539;90250;892657;86408;90250;898677;894090;894090;892657;891716;891716;891716;9010259;891670;891670;8910251;8912284;8912284;873843;9010259;8912521;8912521;8912521;90401602;892604;925236;869476;869476;869476;873843;87106;8911230;8911230;874662;893783;893783;874662;91789;88199202;88199202;88199202;925311;924934;879804;879804;864726;905539
919812;873592;84610002;903811;84667401;851509;8910720;905686;914102;89143602;8611555;844981;91504;874662;908469;907409;866674;90745;905539;925277;89143601;89382601;87163;913512;901836;914366;8811842;8610629;8812818;86409;893548;874217;87139402;864877;894618;86561;911916;877500;862028;904302;862722;911150;86408;868202;878796;9011494;868871;9012315;8913049;924342;91505;8910721;8910721;8910721;90769601;879804;925311;91789;9112712;91544001;915186;911391;891716;891716;90317302;891670;891670;891670;906024;882488;8912284;864496;9010259;9010259;8912521;864033;90769602;859471;874839;858477;913063;922577;87106;87106;87106;87106;868682;893783;868682;893783;893061;88199202;893061;925311;925311;925311;879804;89346;89346;872113
