Alfonso;Aline;Aline;Adriana;Adriana;Sílvia;Sílvia;Sílvia;Leila;Leila
Alfonso;Aline;Aline;Adriana;Caroline;Adriana;Sílvia;Sílvia;Paulo;Paulo
Miguel;Alfonso;José;Adriana;Caroline;Caroline;Caroline;Paulo;Leila;Paulo
Miguel;Miguel;José;José;Caroline;Carlos;Francisca;Juliana;Juliana;Juliana
Miguel;Alfonso;José;Aline;Francisca;Francisca;Francisca;Paulo;Juliana;Leila
Miguel;Augusto;José;Henrique;Carlos;Francisca;Juliana;Pedro;Tiago;Bruno
Augusto;Augusto;Augusto;Henrique;Henrique;Carlos;Pedro;Pedro;Bruno;Bruno
Alfonso;Augusto;Henrique;Carlos;Carlos;Henrique;Pedro;Pedro;Bruno;Bruno
Maria;Maria;Maria;Verônica;Verônica;Leila;Mateus;Mateus;Tiago;Tiago
Maria;Maria;Verônica;Verônica;Verônica;Mateus;Mateus;Mateus;Tiago;Tiago
