842302;852552;852631;852973;842517;85382601;854039;852781;846226;855133
849014;851509;84862001;853401;84300903;854002;855625;853201;84358402;8611792
848406;84610002;844359;845636;8511133;854253;857010;859717;8610404;861799
843786;84458202;84501001;84799002;852763;856106;858986;857392;8610862;8612399
84348301;844981;855167;855138;854268;8510426;859283;8610908;8611555;846381
853612;855563;85638502;85715;857155;857156;859983;857810;857373;8610629
8610637;85922302;857637;857438;857793;8510653;84667401;86135502;861648;859487
862548;858981;859471;859575;85759902;857374;8611161;86135501;861598;854941
85713702;858477;859196;8610175;857343;8612080;861597;862009;86211;86208
859711;8510824;858970;861853;859464;861103;859465;862028;862261;862485
